epic, name, current price (p), day change (p), day change (%)
ADIG;Aberdeen Diversified Income And Growth Trust plc;96.70;+0.60;+0.62%
ANII;Aberdeen New India Investment Trust plc;568.00;0.00;0.00%
ASIT;Aberforth Split Level Income Trust plc;72.10;+0.10;+0.14%
AAS;Abrdn Asia Focus Plc;246.50;-4.50;-1.79%
AAIF;Abrdn Asian Income Fund Limited;219.00;-2.00;-0.90%
ACIC;Abrdn China Investment Company Limited;536.00;0.00;0.00%
AEI;Abrdn Equity Income Trust plc;354.00;+14.50;+4.27%
ASLI;Abrdn European Logistics Income Plc;74.40;+0.70;+0.95%
ABD;ABRDN New Dawn Investment Trust plc;277.50;-0.50;-0.18%
API;Abrdn Property Income Trust Ltd;55.50;+1.10;+2.02%
AUSC;Abrdn UK Smaller Companies Growth Trust plc;478.00;+1.50;+0.31%
AEWU;AEW UK REIT plc;98.00;+1.30;+1.34%
ALFA;Alfa Financial Software Holdings Ltd;161.00;-1.00;-0.62%
AEP;Anglo-Eastern Plantations plc;780.00;0.00;0.00%
AO.;AO World plc;59.55;+0.55;+0.93%
APTD;Aptitude Software Group plc;367.00;+6.50;+1.80%
ATS;Artemis Alpha Trust plc;311.00;-4.00;-1.27%
AIE;Ashoka India Equity Inv Trust Plc;208.00;+1.00;+0.48%
DGN;Asia Dragon Trust Plc;411.00;+1.00;+0.24%
ROOF;Atrato Onsite Energy;81.60;+1.35;+1.68%
AUGM;Augmentum Fintech plc;105.75;+3.75;+3.68%
ARR;Aurora Investment Trust plc;216.50;+1.00;+0.46%
AJOT;AVI Japan Opportunity Trust Plc;109.75;0.00;0.00%
AVON;Avon Protection plc;1,070.00;+40.00;+3.88%
BGCG;Baillie Gifford China Growth Trust plc;254.25;+3.75;+1.50%
BGEU;Baillie Gifford European Growth Trust Plc;91.00;+0.50;+0.55%
BGS;Baillie Gifford Shin Nippon plc;157.20;-0.80;-0.51%
BGUK;Baillie Gifford UK Growth Trust plc;168.70;+0.50;+0.30%
USA;Baillie Gifford US Growth Trust plc;163.40;+0.80;+0.49%
BAKK;Bakkavor Group Plc;92.50;+0.90;+0.98%
BAG;Barr (A.G.);505.00;+1.00;+0.20%
BIOG;Biotech Growth Trust plc (The);944.50;+7.50;+0.80%
BERI;BlackRock Energy And Resources Income Trust plc;135.00;+0.50;+0.37%
BRFI;BlackRock Frontiers Investment Trust plc;130.00;-0.75;-0.57%
BRGE;BlackRock Greater Europe Investment Trust plc;481.00;+1.00;+0.21%
BRLA;BlackRock Latin American Investment Trust plc;382.50;+5.50;+1.46%
BRSA;Blackrock Sustainable American Income Trust plc;210.00;+4.50;+2.19%
BMY;Bloomsbury Publishing plc;481.50;0.00;0.00%
BOOT;Boot (Henry) plc;238.00;+5.00;+2.15%
BASC;Brown Advisory US Smaller Companies;1,287.50;+12.50;+0.98%
BUT;Brunner Investment Trust plc;1,015.00;-10.00;-0.98%
CPI;Capita plc;24.44;+0.64;+2.69%
CAL;Capital & Regional plc;51.60;-1.20;-2.27%
CAPD;Capital Limited;95.00;+0.50;+0.53%
CARD;Card Factory plc;77.10;+2.80;+3.77%
CARR;Carrs Group plc;117.00;-3.00;-2.50%
CCJI;CC Japan Income & Growth Trust plc;153.75;+1.25;+0.82%
CSN;Chesnara plc;290.50;-1.50;-0.51%
CHRY;Chrysalis Investments Limited;75.40;0.00;0.00%
CLIG;City of London Investment Group plc;430.00;0.00;0.00%
CSH;Civitas Social Housing plc;60.70;+1.70;+2.88%
COST;Costain Group plc;41.30;+0.50;+1.23%
CYN;CQS Natural Resources Growth and Income plc;207.00;+4.00;+1.97%
NCYF;CQS New City High Yield Fund Ltd;51.40;+0.20;+0.39%
CTPE;CT Private Equity Trust Plc;445.00;+4.00;+0.91%
CTPT;CT Property Trust Limited;71.80;+0.60;+0.84%
CTUK;CT UK Capital & Income Inv Trust plc;298.00;+0.50;+0.17%
CREI;Custodian REIT plc;92.20;+0.80;+0.88%
CVCG;CVC Income & Growth Limited;89.80;-1.00;-1.10%
DLAR;De La Rue plc;76.80;-1.80;-2.29%
DVO;Devro plc;304.00;+2.00;+0.66%
DFS;DFS Furniture plc;154.80;+1.80;+1.18%
DTY;Dignity plc;371.50;+1.50;+0.41%
DIVI;Diverse Income Trust plc (The);91.10;+0.40;+0.44%
DORE;Downing Renewables & Infrastructure Trust plc;115.00;+1.50;+1.32%
DIG;Dunedin Income Growth Investment Trust plc;291.00;+0.50;+0.17%
DWF;DWF Group Ltd;78.00;0.00;0.00%
EGL;Ecofin Global Utilities & Infrastructure Trust plc;210.00;-4.00;-1.87%
EPIC;Ediston Property Investment Company plc;64.80;+0.60;+0.93%
ESP;Empiric Student Property plc;87.40;+0.40;+0.46%
ENQ;EnQuest plc;23.80;-0.55;-2.26%
ESKN;Esken Limited;5.79;-0.30;-4.93%
EAT;European Assets Trust plc;93.80;+0.30;+0.32%
FAS;Fidelity Asian Values plc;475.50;+0.50;+0.11%
FJV;Fidelity Japan Trust plc;174.25;-0.50;-0.29%
FSG;Foresight Group Holdings Ltd;390.00;+30.00;+8.33%
FSF;Foresight Sustainable Forestry Company plc;106.00;-0.25;-0.24%
FORT;Forterra plc;204.00;+0.50;+0.25%
FOXT;Foxtons Group plc;31.95;+0.30;+0.95%
FSTA;Fuller Smith & Turner;536.00;-4.00;-0.74%
FCH;Funding Circle PLC;63.00;+8.10;+14.75%
GFRD;Galliford Try Holdings Plc;158.80;+0.20;+0.13%
GABI;GCP Asset Backed Income Fund Limited;83.30;+0.20;+0.24%
CGEO;Georgia Capital Plc;755.00;-1.00;-0.13%
GOT;Global Opportunities Trust plc;306.50;-1.50;-0.49%
GSF;Gore Street Energy Storage Fund plc;110.20;-0.40;-0.36%
GNC;Greencore Group plc;65.00;+1.20;+1.88%
GYM;Gym Group plc;105.00;+2.00;+1.94%
HFD;Halfords;198.40;+1.00;+0.51%
HWG;Harworth Group plc;105.00;0.00;0.00%
HEAD;Headlam Group plc;303.00;-6.00;-1.94%
HLCL;Helical plc;334.00;-6.00;-1.76%
HDIV;Henderson Diversified Income plc;69.90;-0.10;-0.14%
HEFT;Henderson European Focus Trust plc;148.25;-0.75;-0.50%
HNE;Henderson Eurotrust plc;125.00;0.00;0.00%
HFEL;Henderson Far East Income Ltd;267.50;-3.00;-1.11%
HHI;Henderson High Income Trust plc;170.00;+0.25;+0.15%
HINT;Henderson International Income Trust plc;175.50;+0.50;+0.29%
HOC;Hochschild Mining Plc;72.45;+0.65;+0.91%
BOWL;Hollywood Bowl Group Plc;214.50;-0.50;-0.23%
HSW;Hostelworld Group plc;103.20;+1.80;+1.78%
HTG;Hunting plc;278.00;+6.50;+2.39%
HYVE;Hyve Group plc;64.20;+0.30;+0.47%
IHR;Impact Healthcare REIT plc;103.80;0.00;0.00%
MLI;Industrials REIT Ltd;133.00;-5.50;-3.97%
IBT;International Biotechnology Trust plc;701.00;-2.00;-0.28%
IPF;International Personal Finance Plc;78.00;+2.60;+3.45%
IAT;Invesco Asia Trust plc;330.50;+2.50;+0.76%
BIPS;Invesco Bond Income Plus Limited;165.75;+0.25;+0.15%
IPU;Invesco Perpetual UK Smaller Cos Inv Tst plc;432.00;+2.50;+0.58%
IVPU;Invesco Select Trust plc;164.00;+1.25;+0.77%
FSJ;James Fisher & Sons plc;332.75;-8.25;-2.42%
JAGI;JPMorgan Asia Growth and Income Plc;353.75;0.00;0.00%
JCGI;JPMorgan China Growth & Income Plc;330.00;+7.00;+2.17%
JCH;JPMorgan Claverhouse Investment Trust plc;708.00;-2.00;-0.28%
JEGI;JPMorgan European Growth & Income plc;87.60;-0.10;-0.11%
JARA;JPMorgan Global Core Real Assets Limited;97.90;+1.70;+1.77%
JEMI;JPMorgan Global Emerging Markets Income Trust plc;124.00;-0.50;-0.40%
JSGI;JPMorgan Japan Small Cap Growth & Income Trust;336.50;-1.50;-0.44%
JMF;JPMorgan Mid Cap Investment Trust plc;895.00;-3.00;-0.33%
JMI;JPMorgan UK Smaller Companies Investment Trust PLC;291.50;-1.50;-0.51%
JUSC;JPMorgan US Smaller Companies Investment Trust plc;402.00;-3.00;-0.74%
KLR;Keller Group;725.00;-16.00;-2.16%
KMR;Kenmare Resources plc;432.00;-3.50;-0.80%
KPC;Keystone Positive Change Investment Trust plc;216.75;-0.25;-0.12%
KIE;Kier Group plc;64.80;+0.70;+1.09%
KCT;Kin and Carta;235.00;-4.50;-1.88%
LTI;Lindsell Train Investment Trust plc (The);1,052.50;+10.00;+0.96%
LOOK;Lookers Plc;80.80;-0.60;-0.74%
LWI;Lowland Investment Company plc;119.75;+1.75;+1.48%
LSL;LSL Property Services Plc;240.00;+2.00;+0.84%
LUCE;Luceco Plc;89.80;+2.20;+2.51%
MGCI;M&G Credit Income Investment Trust plc;92.60;0.00;0.00%
MACF;MacFarlane Group plc;103.00;+0.50;+0.49%
MAJE;Majedie Investments plc;192.75;+0.25;+0.13%
MNL;Manchester & London Inv Tst plc;356.50;-2.00;-0.56%
MARS;Marstons plc;38.90;+0.28;+0.73%
MNP;Martin Currie Global Portfolio Trust plc;310.00;+3.00;+0.98%
MEGP;ME Group International plc;104.50;+1.50;+1.46%
MER;Mears Group plc;191.00;+1.50;+0.79%
MGP;Medica Group plc;150.00;-2.50;-1.64%
MTRO;Metro Bank plc;95.10;-1.10;-1.14%
MWY;Mid Wynd International Investment Trust Plc;722.00;0.00;0.00%
MCT;Middlefield Canadian Inc - GBP PC;127.25;+0.50;+0.39%
GLE;MJ Gleeson plc;370.00;-1.00;-0.27%
MMIT;Mobius Investment Trust plc;133.75;+1.75;+1.33%
MTE;Montanaro European Smaller Companies Trust plc;136.00;+0.70;+0.52%
MTU;Montanaro Uk Smaller Cos Investment Trust plc;113.00;-2.00;-1.74%
MOTR;Motorpoint plc;157.00;+3.50;+2.28%
NANO;Nanoco Group Plc;41.00;-1.00;-2.38%
NBMI;NB Global Monthly Income Fund Ltd;74.50;+0.20;+0.27%
NRR;NewRiver REIT plc;83.50;+1.90;+2.33%
NXR;Norcros plc;186.50;+1.50;+0.81%
NAIT;North American Income Trust plc;310.50;-3.50;-1.11%
NAS;North Atlantic Smaller Cos Inv Tst plc;3,500.00;0.00;0.00%
OCN;Ocean Wilsons Holdings Ltd;890.00;+10.00;+1.14%
OIT;Odyssean Investment Trust plc;175.00;-0.50;-0.28%
OTB;On The Beach Group plc;125.80;+1.20;+0.96%
OIG;Oryx International Growth Fund;1,060.00;+7.50;+0.71%
OXB;Oxford Biomedica plc;400.50;-5.50;-1.35%
