epic, name, current price (p), day change (p), day change (%)
APTD;Aptitude Software Group plc;367.00;+6.50;+1.80%
AVV;AVEVA Group plc;3,183.00;-3.00;-0.09%
BA.;BAE Systems plc;813.20;-1.80;-0.22%
BVC;BATM Advanced Communications Ltd;25.15;-0.28;-1.08%
CCC;Computacenter plc;2,042.00;-2.00;-0.10%
FLTR;Flutter Entertainment;12,030.00;-10.00;-0.08%
GNS;Genus plc;3,020.00;+50.00;+1.68%
MCRO;Micro Focus International plc;522.00;-0.20;-0.04%
NCC;NCC Group plc;211.00;-3.50;-1.63%
OXB;Oxford Biomedica plc;400.50;-5.50;-1.35%
OXIG;Oxford Instruments plc;2,200.00;0.00;0.00%
QQ.;QinetiQ Group plc;347.40;-0.60;-0.17%
RSW;Renishaw plc;3,850.00;+92.00;+2.45%
RCDO;Ricardo plc;460.00;-4.00;-0.86%
SGE;Sage Group plc;801.80;-9.80;-1.21%
SN.;Smith & Nephew plc;1,089.50;+11.00;+1.02%
SXS;Spectris plc;3,229.00;+31.00;+0.97%
SPT;Spirent Communications plc;274.60;-9.40;-3.31%
TRD;Triad Group plc;105.00;+2.50;+2.44%
XAR;Xaar;197.00;-11.00;-5.29%
XPP;XP Power Limited;2,085.00;+5.00;+0.24%
APTD;Aptitude Software Group plc;367.00;+6.50;+1.80%
AVV;AVEVA Group plc;3,183.00;-3.00;-0.09%
BA.;BAE Systems plc;813.20;-1.80;-0.22%
BVC;BATM Advanced Communications Ltd;25.15;-0.28;-1.08%
CCC;Computacenter plc;2,042.00;-2.00;-0.10%
FLTR;Flutter Entertainment;12,030.00;-10.00;-0.08%
GNS;Genus plc;3,020.00;+50.00;+1.68%
MCRO;Micro Focus International plc;522.00;-0.20;-0.04%
NCC;NCC Group plc;211.00;-3.50;-1.63%
OXB;Oxford Biomedica plc;400.50;-5.50;-1.35%
OXIG;Oxford Instruments plc;2,200.00;0.00;0.00%
QQ.;QinetiQ Group plc;347.40;-0.60;-0.17%
RSW;Renishaw plc;3,850.00;+92.00;+2.45%
RCDO;Ricardo plc;460.00;-4.00;-0.86%
SGE;Sage Group plc;801.80;-9.80;-1.21%
SN.;Smith & Nephew plc;1,089.50;+11.00;+1.02%
SXS;Spectris plc;3,229.00;+31.00;+0.97%
SPT;Spirent Communications plc;274.60;-9.40;-3.31%
TRD;Triad Group plc;105.00;+2.50;+2.44%
XAR;Xaar;197.00;-11.00;-5.29%
XPP;XP Power Limited;2,085.00;+5.00;+0.24%
APTD;Aptitude Software Group plc;367.00;+6.50;+1.80%
AVV;AVEVA Group plc;3,183.00;-3.00;-0.09%
BA.;BAE Systems plc;813.20;-1.80;-0.22%
BVC;BATM Advanced Communications Ltd;25.15;-0.28;-1.08%
CCC;Computacenter plc;2,042.00;-2.00;-0.10%
FLTR;Flutter Entertainment;12,030.00;-10.00;-0.08%
GNS;Genus plc;3,020.00;+50.00;+1.68%
MCRO;Micro Focus International plc;522.00;-0.20;-0.04%
NCC;NCC Group plc;211.00;-3.50;-1.63%
OXB;Oxford Biomedica plc;400.50;-5.50;-1.35%
OXIG;Oxford Instruments plc;2,200.00;0.00;0.00%
QQ.;QinetiQ Group plc;347.40;-0.60;-0.17%
RSW;Renishaw plc;3,850.00;+92.00;+2.45%
RCDO;Ricardo plc;460.00;-4.00;-0.86%
SGE;Sage Group plc;801.80;-9.80;-1.21%
SN.;Smith & Nephew plc;1,089.50;+11.00;+1.02%
SXS;Spectris plc;3,229.00;+31.00;+0.97%
SPT;Spirent Communications plc;274.60;-9.40;-3.31%
TRD;Triad Group plc;105.00;+2.50;+2.44%
XAR;Xaar;197.00;-11.00;-5.29%
XPP;XP Power Limited;2,085.00;+5.00;+0.24%
