epic, name, current price (p), day change (p), day change (%)
III;3i Group Plc;1,318.00;+2.50;+0.19%
3IN;3i Infrastructure plc;327.00;0.00;0.00%
FOUR;4imprint Group plc;4,280.00;+60.00;+1.42%
888;888 Holdings;102.50;-2.20;-2.10%
ASL;Aberforth Smaller Companies Trust plc;1,310.00;+18.00;+1.39%
ABDN;Abrdn plc;201.70;+1.30;+0.65%
APEO;Abrdn Private Equity Opportunities Trust plc;422.00;-9.00;-2.09%
ADM;Admiral Group;2,036.00;-23.00;-1.12%
AAF;Airtel Africa plc;121.80;-1.70;-1.38%
AJB;AJ Bell Plc;390.00;+30.00;+8.33%
ATST;Alliance Trust plc;970.00;-11.00;-1.12%
ATT;Allianz Technology Trust plc;219.00;-4.00;-1.79%
AAL;Anglo American;3,296.00;-5.50;-0.17%
ANTO;Antofagasta plc;1,434.50;+29.00;+2.06%
APAX;Apax Global Alpha Limited;180.00;-3.00;-1.64%
ASCL;Ascential Plc;226.20;-1.20;-0.53%
ASHM;Ashmore Group plc;230.80;+1.20;+0.52%
AHT;Ashtead Group plc;5,012.00;-74.00;-1.45%
ASC;ASOS plc;640.00;-3.50;-0.54%
ABF;Associated British Foods plc;1,667.50;+80.00;+5.04%
AGR;Assura plc;55.75;+1.10;+2.01%
AML;Aston Martin Lagonda;142.55;+6.55;+4.82%
AZN;AstraZeneca plc;11,178.00;-22.00;-0.20%
ATG;Auction Technology Group plc;747.00;-41.00;-5.20%
AUTO;Auto Trader Group plc;575.20;-1.60;-0.28%
AVV;AVEVA Group plc;3,183.00;-3.00;-0.09%
AGT;AVI Global Trust plc;196.00;-3.00;-1.51%
AV.;Aviva Plc;444.80;-0.70;-0.16%
BME;B&M European Value Retail SA;417.70;+2.60;+0.63%
BAB;Babcock International Group;291.00;-4.00;-1.36%
BA.;BAE Systems plc;813.20;-1.80;-0.22%
BGFD;Baillie Gifford Japan Trust plc;772.00;-20.00;-2.53%
BCPT;Balanced Commercial Property Trust Ltd;92.10;-0.20;-0.22%
BBY;Balfour Beatty plc;325.80;-2.20;-0.67%
BCG;Baltic Classifieds Group plc;148.60;-1.40;-0.93%
BGEO;Bank Of Georgia Group Plc;2,585.00;+75.00;+2.99%
BNKR;Bankers Investment Trust plc;101.20;-1.40;-1.36%
BARC;Barclays plc;156.82;-1.46;-0.92%
BDEV;Barratt Developments plc;409.40;+3.90;+0.96%
BBGI;BBGI Global Infrastructure S.A.;157.80;-3.20;-1.99%
BEZ;Beazley plc;649.00;-18.50;-2.77%
BBH;Bellevue Healthcare Trust plc;158.00;-2.00;-1.25%
BWY;Bellway plc;1,944.00;-14.00;-0.72%
BKG;Berkeley Group Holdings plc;3,849.00;+2.00;+0.05%
BHMG;BH Macro Ltd (GBP);4,625.00;-5.00;-0.11%
BIFF;Biffa plc;407.20;0.00;0.00%
BYG;Big Yellow Group;1,149.00;+26.00;+2.32%
BRSC;BlackRock Smaller Companies Trust plc;1,370.00;-6.00;-0.44%
THRG;BlackRock Throgmorton Trust plc;616.00;+8.00;+1.32%
BRWM;BlackRock World Mining Trust plc;687.00;-14.00;-2.00%
BSIF;Bluefield Solar Income Fund Limited;137.50;-3.00;-2.14%
BOY;Bodycote plc;599.50;+0.50;+0.08%
BP.;BP Plc;480.90;-8.55;-1.75%
BPT;Bridgepoint Group plc;204.40;-8.20;-3.86%
BATS;British American Tobacco plc;3,408.00;+17.00;+0.50%
BLND;British Land Co plc;401.50;+4.50;+1.13%
BVIC;Britvic plc;821.50;+3.00;+0.37%
BT.A;BT Group plc;120.70;+0.15;+0.12%
BNZL;Bunzl plc;3,050.00;+4.00;+0.13%
BRBY;Burberry Group plc;2,164.00;+13.00;+0.60%
BYIT;Bytes Technology Group plc;429.60;+3.00;+0.70%
CCR;C & C Group plc;182.70;-0.50;-0.27%
CLDN;Caledonia Investments plc;3,845.00;-125.00;-3.15%
CAPC;Capital & Counties Properties plc;102.90;+0.90;+0.88%
CGT;Capital Gearing Trust plc;4,960.00;-70.00;-1.39%
CNE;Capricorn Energy Plc;249.60;-3.20;-1.27%
CCL;Carnival plc;696.60;-29.20;-4.02%
CEY;Centamin plc;108.30;-0.20;-0.18%
CNA;Centrica plc;95.00;-0.54;-0.57%
CHG;Chemring Group plc;303.50;-6.00;-1.94%
CTY;City Of London Investment Trust;408.00;-4.00;-0.97%
CKN;Clarkson plc;3,105.00;-20.00;-0.64%
CBG;Close Brothers Group plc;1,094.00;+6.00;+0.55%
CLI;CLS Holdings plc;158.00;+0.60;+0.38%
CMCX;CMC Markets Plc;232.50;-3.50;-1.48%
COA;Coats Group plc;67.20;-0.10;-0.15%
CCH;Coca-Cola HBC AG;2,029.00;+14.00;+0.69%
CPG;Compass Group plc;1,875.00;+8.50;+0.46%
CCC;Computacenter plc;2,042.00;-2.00;-0.10%
GLO;ContourGlobal plc;251.00;+0.50;+0.20%
CTEC;ConvaTec Group Plc;232.40;+0.40;+0.17%
CWK;Cranswick plc;3,140.00;+52.00;+1.68%
CRST;Crest Nicholson Holdings plc;229.80;-2.80;-1.20%
CRH;CRH plc;3,285.00;+6.50;+0.20%
CRDA;Croda International plc;6,976.00;+54.00;+0.78%
CURY;Currys plc;77.30;+1.05;+1.38%
DARK;Darktrace plc;361.40;+5.60;+1.57%
DCC;DCC plc;4,392.00;-36.00;-0.81%
DPH;Dechra Pharmaceuticals plc;2,790.00;+12.00;+0.43%
DLN;Derwent London plc;2,360.00;+2.00;+0.08%
DGE;Diageo plc;3,847.00;+1.00;+0.03%
DPLM;Diploma plc;2,930.00;+10.00;+0.34%
DLG;Direct Line Insurance Group plc;206.80;-1.70;-0.82%
DSCV;DiscoverIE Group plc;833.00;-7.00;-0.83%
DEC;Diversified Energy Company Plc;124.40;-1.50;-1.19%
DOM;Domino's Pizza Group plc;295.20;+5.20;+1.79%
DOCS;Dr Martens plc;208.40;-2.20;-1.04%
DRX;Drax Group plc;616.50;0.00;0.00%
DNLM;Dunelm Group Plc;1,022.00;+15.00;+1.49%
EZJ;easyJet plc;391.50;+3.90;+1.01%
EDIN;Edinburgh Investment Trust plc;633.00;-7.00;-1.09%
EWI;Edinburgh Worldwide Investment Trust;183.00;-1.40;-0.76%
ELM;Elementis plc;116.90;+0.70;+0.60%
EDV;Endeavour Mining plc;1,750.00;-6.00;-0.34%
ENOG;Energean;1,365.00;-124.00;-8.33%
ENT;Entain plc;1,397.50;-5.50;-0.39%
ESNT;Essentra Plc;250.00;+1.50;+0.60%
EOT;European Opportunities Trust plc;749.00;-7.00;-0.93%
EXPN;Experian Plc;2,967.00;+13.00;+0.44%
FCIT;F&C Investment Trust plc;928.00;0.00;0.00%
FDM;FDM Group plc;751.00;-9.00;-1.18%
FXPO;Ferrexpo plc;151.80;+3.40;+2.29%
