epic, name, current price (p), day change (p), day change (%)
ABDP;AB Dynamics plc;1,630.00;0.00;0.00%
ABC;Abcam plc;1,369.00;+9.00;+0.66%
ACSO;Accesso Technology Group plc;808.00;0.00;0.00%
AMS;Advanced Medical Solutions Group plc;267.50;-4.50;-1.65%
APH;Alliance Pharma Plc;46.55;-0.55;-1.17%
AFM;Alpha Financial Markets Consulting Plc;490.00;+3.00;+0.62%
AFX;Alpha FX Group plc;2,240.00;-10.00;-0.44%
ATYM;Atalaya Mining plc;300.00;0.00;0.00%
ALL;Atlantic Lithium Ltd;44.30;+0.30;+0.68%
AVCT;Avacta Group plc;107.00;+0.60;+0.56%
BMK;Benchmark Holdings plc;38.75;-1.00;-2.52%
BIG;Big Technologies plc;266.00;-4.00;-1.48%
BOKU;Boku Inc;132.50;0.00;0.00%
BOO;Boohoo Group plc;45.75;+2.07;+4.74%
BREE;Breedon Group plc;59.60;-0.40;-0.67%
BRCK;Brickability Group plc;69.00;0.00;0.00%
BRK;Brooks Macdonald Group;2,190.00;+90.00;+4.29%
BUR;Burford Capital Ltd;729.00;-8.50;-1.15%
CAML;Central Asia Metals;251.00;+0.50;+0.20%
CNIC;CentralNic Group plc;131.00;0.00;0.00%
CWR;Ceres Power Holdings;388.70;+1.50;+0.39%
CER;Cerillion plc;1,175.00;+30.00;+2.62%
CRW;Craneware plc;2,200.00;+5.00;+0.23%
CVSG;CVS Group plc;2,106.00;+28.00;+1.35%
DOTD;dotDigital Group plc;93.00;-2.70;-2.82%
ELIX;Elixirr International plc;520.00;+10.00;+1.96%
EMIS;Emis Group Plc;1,876.00;-2.00;-0.11%
ERGO;Ergomed plc;1,380.00;+2.00;+0.15%
FDP;FD Technologies Plc;1,422.00;+22.00;+1.57%
FEVR;Fevertree Drinks plc;1,191.00;+59.00;+5.21%
TUNE;Focusrite plc;825.00;0.00;0.00%
FDEV;Frontier Developments plc;1,158.00;+20.00;+1.76%
FRP;FRP Advisory Group plc;168.00;0.00;0.00%
GAMA;Gamma Communications plc;1,088.00;-8.00;-0.73%
GTLY;Gateley Holdings plc;175.50;0.00;0.00%
GBG;GB Group plc;339.00;-2.80;-0.82%
DATA;GlobalData plc;1,225.00;0.00;0.00%
GGP;Greatland Gold Plc;7.40;-0.10;-1.33%
GRP;Greencoat Renewables plc;1.16;0.00;0.00%
GHE;Gresham House;740.00;+10.00;+1.37%
HCM;Hutchmed (China) Limited;226.50;+9.50;+4.38%
I3E;I3 Energy plc;21.35;-0.05;-0.23%
IDOX;IDOX plc;65.40;0.00;0.00%
IBPO;iEnergizer Limited;473.00;-1.00;-0.21%
IPX;Impax Asset Management Group Plc;806.00;+17.00;+2.15%
IPEL;Impellam Group plc;602.50;0.00;0.00%
SPEC;Inspecs Group plc;48.50;-0.50;-1.02%
IQE;IQE plc;52.70;-0.40;-0.75%
ITM;ITM Power plc;103.65;-0.90;-0.86%
JSE;Jadestone Energy Plc;69.60;-0.40;-0.57%
JHD;James Halstead plc;195.00;+1.00;+0.52%
JET2;Jet2 plc;1,001.00;-1.50;-0.15%
JSG;Johnson Service Group plc;96.50;+0.50;+0.52%
JLP;Jubilee Metals Group;11.30;-0.25;-2.16%
JDG;Judges Scientific plc;7,740.00;+40.00;+0.52%
KAPE;Kape Technologies Plc;244.00;-2.00;-0.81%
KWS;Keywords Studios plc;2,948.00;-28.00;-0.94%
KIST;Kistos plc;473.50;+5.50;+1.18%
LTHM;Latham (James) Plc;1,250.00;0.00;0.00%
LBG;LBG Media Ltd;69.00;+0.50;+0.73%
LTG;Learning Technologies Group plc;133.10;+0.30;+0.23%
LOK;Lok'n Store plc;975.00;0.00;0.00%
MPE;M P Evans Group Plc;900.00;-2.00;-0.22%
MRL;Marlowe plc;480.00;-4.00;-0.83%
MTW;Mattioli Woods Plc;625.00;0.00;0.00%
MXCT;MaxCyte Inc;492.00;0.00;0.00%
MIDW;Midwich Group plc;450.00;+15.50;+3.57%
MAB1;Mortgage Advice Bureau (Holdings) Ltd;564.00;+40.00;+7.63%
NFC;Next Fifteen Communications Group;1,038.00;-16.00;-1.52%
NICL;Nichols plc;1,070.00;-15.00;-1.38%
NUM;Numis Corporation;178.80;+4.60;+2.64%
PAF;Pan African Resources plc;17.14;-0.44;-2.50%
PANR;Pantheon Resources plc;73.05;-1.70;-2.27%
PTAL;PetroTal Corp;41.50;-0.50;-1.19%
POLR;Polar Capital Holdings Plc;505.00;+10.00;+2.02%
RQIH;R&Q Insurance Holdings Ltd;60.00;-0.40;-0.66%
RNWH;Renew Holdings Plc;690.00;+7.00;+1.02%
RST;Restore Plc;330.00;+3.00;+0.92%
RWS;RWS Holdings plc;343.00;+8.20;+2.45%
SAVE;Savannah Energy plc;24.00;+0.50;+2.13%
SEE;Seeing Machines Ltd;6.40;-0.02;-0.31%
SQZ;Serica Energy Plc;317.00;-3.50;-1.09%
